"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12828","Click Search: ""covid"" -> Expect results found","chromium","Mon Dec 01 14:08:43 IST 2025","passed","Mon Dec 01 14:08:56 IST 2025","@sanity Test#3 - Valid Keywords -> Search Results Displayed","MedPlusSearch.spec.ts","",""
"","11469","Click Search: ""!@#$%^&*()"" -> Expect ""No results"" message","chromium","Mon Dec 01 14:06:42 IST 2025","passed","Mon Dec 01 14:06:53 IST 2025","@sanity Test#1 - Invalid Keywords -> No Results Message Displayed","MedPlusSearch.spec.ts","",""
"","12265","Click Search: ""diabetes"" -> Expect results found","chromium","Mon Dec 01 14:07:55 IST 2025","passed","Mon Dec 01 14:08:07 IST 2025","@sanity Test#3 - Valid Keywords -> Search Results Displayed","MedPlusSearch.spec.ts","",""
"","14235","Flipkart Login Page Mouse Hover @smoke","chromium","Tue Nov 25 17:44:50 IST 2025","passed","Tue Nov 25 17:45:04 IST 2025","","MouseHover_Test.spec.ts","",""
"","11214","Enter Key Search: ""randomword999"" -> Expect ""No results"" message","chromium","Mon Dec 01 14:07:17 IST 2025","passed","Mon Dec 01 14:07:28 IST 2025","@sanity Test#1 - Invalid Keywords -> No Results Message Displayed","MedPlusSearch.spec.ts","",""
"","11400","Click Search: ""invalidmedicalterm"" -> Expect ""No results"" message","chromium","Mon Dec 01 14:06:53 IST 2025","passed","Mon Dec 01 14:07:05 IST 2025","@sanity Test#1 - Invalid Keywords -> No Results Message Displayed","MedPlusSearch.spec.ts","",""
"","12826","Click Search: ""!@#$%^&*()_+{}|:""<>?[];'\,./`~"" -> Expect search intro element visible","chromium","Mon Dec 01 14:09:49 IST 2025","passed","Mon Dec 01 14:10:02 IST 2025","@sanity Test#4 - Edge Cases -> No Results/Validation","MedPlusSearch.spec.ts","",""
"","11840","Enter Key Search: ""xyzabc123"" -> Expect ""No results"" message","chromium","Mon Dec 01 14:07:05 IST 2025","passed","Mon Dec 01 14:07:17 IST 2025","@sanity Test#1 - Invalid Keywords -> No Results Message Displayed","MedPlusSearch.spec.ts","",""
"","13243","Click Search: "" "" -> Expect search intro element visible","chromium","Mon Dec 01 14:09:23 IST 2025","passed","Mon Dec 01 14:09:36 IST 2025","@sanity Test#4 - Edge Cases -> No Results/Validation","MedPlusSearch.spec.ts","",""
"","14555","Valid keyword: ""diabetes"" -> Suggestions appear while typing","chromium","Mon Dec 01 14:07:28 IST 2025","passed","Mon Dec 01 14:07:42 IST 2025","@sanity Test#2 - Auto Suggestions Behavior","MedPlusSearch.spec.ts","",""
"","169","@smoke Verify the Search filters are visible","chromium","Mon Dec 01 14:05:52 IST 2025","passed","Mon Dec 01 14:05:52 IST 2025","@sanity Test the search and detail view for the Drugs & Supplements section","MedPlusDrugsAndSupplements.spec.ts","",""
"","5639","@tablet Verify search functionality - Tablet view","chromium","Mon Dec 01 14:06:20 IST 2025","passed","Mon Dec 01 14:06:26 IST 2025","@sanity Site Responsiveness Verification","MedPlusResponsiveness.spec.ts","",""
"","6207","@mobile Verify search functionality - Mobile view","chromium","Mon Dec 01 14:06:01 IST 2025","passed","Mon Dec 01 14:06:07 IST 2025","@sanity Site Responsiveness Verification","MedPlusResponsiveness.spec.ts","",""
"","6778","@sanity Verify navigation to Aspirin details page via search","chromium","Mon Dec 01 14:06:02 IST 2025","passed","Mon Dec 01 14:06:09 IST 2025","@sanity Test the search and detail view for the Drugs & Supplements section","MedPlusDrugsAndSupplements.spec.ts","",""
"","12074","Click Search: ""cancer"" -> Expect results found","chromium","Mon Dec 01 14:08:19 IST 2025","passed","Mon Dec 01 14:08:31 IST 2025","@sanity Test#3 - Valid Keywords -> Search Results Displayed","MedPlusSearch.spec.ts","",""
"","11882","Click Search: ""heart disease"" -> Expect results found","chromium","Mon Dec 01 14:08:07 IST 2025","passed","Mon Dec 01 14:08:19 IST 2025","@sanity Test#3 - Valid Keywords -> Search Results Displayed","MedPlusSearch.spec.ts","",""
"","12648","Click Search: ""randomword999"" -> Expect ""No results"" message","chromium","Mon Dec 01 14:06:07 IST 2025","passed","Mon Dec 01 14:06:19 IST 2025","@sanity Test#1 - Invalid Keywords -> No Results Message Displayed","MedPlusSearch.spec.ts","",""
"","10256","@smoke My Test Shadow DOM Test","chromium","Tue Nov 25 17:44:50 IST 2025","passed","Tue Nov 25 17:45:00 IST 2025","","Practice_tests\My_Test_Shadow_DOM_Test.spec.ts","",""
